headers	province	region
EPI_ISL_4520718|B/Hubei-Wujiagang/1782/2021|2021-09-02	Hubei	Central
EPI_ISL_4520720|B/Hainan-Meilan/1651/2021|2021-08-09	Hainan	South
EPI_ISL_4520725|B/Hubei-Maojian/11535/2021|2021-08-08	Hubei	Central
EPI_ISL_4520726|B/Hubei-Zhangwan/2152/2021|2021-08-06	Hubei	Central
EPI_ISL_4520727|B/Hubei-Wuchang/717/2021|2021-08-01	Hubei	Central
EPI_ISL_4520729|B/Hainan-Meilan/1647/2021|2021-08-09	Hainan	South
EPI_ISL_4520731|B/Guangdong-Zhenjiang/1608/2021|2021-08-02	Guangdong	South
EPI_ISL_4520732|B/Guangdong-Pengjiang/1849/2021|2021-08-09	Guangdong	South
EPI_ISL_4520733|B/Shanghai-Fengxian/1671/2021|2021-08-02	Shanghai	East
EPI_ISL_4520734|B/Shanghai-Baoshan/1648/2021|2021-08-16	Shanghai	East
EPI_ISL_4520735|B/Guangxi-Gangbei/1805/2021|2021-08-02	Guangxi	South
EPI_ISL_4520739|B/Hubei-Qiaokou/1555/2021|2021-08-02	Hubei	Central
EPI_ISL_4520743|B/Hubei-Danjiangkou/2355/2021|2021-08-04	Hubei	Central
EPI_ISL_4520745|B/Hunan-Lusong/1758/2021|2021-08-09	Hunan	Central
EPI_ISL_4520746|B/Hunan-Tianyuan/1788/2021|2021-08-02	Hunan	Central
EPI_ISL_4520747|B/Hunan-Tianyuan/1821/2021|2021-08-09	Hunan	Central
EPI_ISL_4520749|B/Hunan-Kaifu/1628/2021|2021-08-09	Hunan	Central
EPI_ISL_4520750|B/Hunan-Suxian/1782/2021|2021-08-02	Hunan	Central
EPI_ISL_4520752|B/Fujian-Cangshan/1783/2021|2021-08-08	Fujian	East
EPI_ISL_4520754|B/Zhejiang-Haishu/11549/2021|2021-08-03	Zhejiang	East
EPI_ISL_4520755|B/Zhejiang-Haishu/11626/2021|2021-08-16	Zhejiang	East
EPI_ISL_4520756|B/Guizhou-Nanming/11818/2021|2021-08-03	Guizhou	Southwest
EPI_ISL_4520757|B/Chongqing-Yubei/1791/2021|2021-08-02	Chongqing	Southwest
EPI_ISL_4520758|B/Chongqing-Yuzhong/1781/2021|2021-08-10	Chongqing	Southwest
EPI_ISL_4520759|B/Chongqing-Yuzhong/1785/2021|2021-08-07	Chongqing	Southwest
EPI_ISL_4520763|B/Hebei-Luquan/1784/2021|2021-08-02	Hebei	North
EPI_ISL_4520765|B/Fujian-Xinluo/11615/2021|2021-08-02	Fujian	East
EPI_ISL_4520766|B/Henan-Shihe/1398/2021|2021-08-08	Henan	Central
EPI_ISL_4520767|B/Henan-Shihe/1400/2021|2021-08-12	Henan	Central
